PING 192.168.153.141 (192.168.153.141) 56(84) bytes of data.
64 bytes from 192.168.153.141: icmp_seq=1 ttl=64 time=0.027 ms
64 bytes from 192.168.153.141: icmp_seq=2 ttl=64 time=0.011 ms
64 bytes from 192.168.153.141: icmp_seq=3 ttl=64 time=0.008 ms
64 bytes from 192.168.153.141: icmp_seq=4 ttl=64 time=0.009 ms
64 bytes from 192.168.153.141: icmp_seq=5 ttl=64 time=0.009 ms
64 bytes from 192.168.153.141: icmp_seq=6 ttl=64 time=0.007 ms
64 bytes from 192.168.153.141: icmp_seq=7 ttl=64 time=0.008 ms
64 bytes from 192.168.153.141: icmp_seq=8 ttl=64 time=0.008 ms
64 bytes from 192.168.153.141: icmp_seq=9 ttl=64 time=0.006 ms
64 bytes from 192.168.153.141: icmp_seq=10 ttl=64 time=0.008 ms
